,store,address,phone
0,영도봉래점,부산 영도구 태종로 194,051)418-2102~3
1,진영점,경남 김해시 진영읍 진영로 221,055)345-0388~9
2,금사점,부산 금정구 공단서로 22 (강산병원 옆),051)527-2222
3,통영점,경남 통영시 미수해안로 164-13 (봉평오거리 옆),055)648-8161~3
4,진주점,경남 진주시 도동로 251,055)762-2571~5
5,사직점,부산 동래구 사직북로33번길 34 (국민시장 내),051)501-5810
6,신평점,부산 사하구 하신중앙로 210,051)293-8483~4
7,신촌점,경남 밀양시 창밀로 3561,055)356-5535~6
8,구산점,경남 김해시 구산로 50 (구산고 밑),055)325-6283~4
9,연제점,부산 연제구 중앙대로 1174 구)피자헛 연산점 자리,051)504-9551~2
10,반여점,부산 해운대구 선수촌로 119,051)525-0422
11,고성점,경남 고성군 고성읍 성내로 28,055)674-8131~2
12,기장점,부산 기장군 기장읍 대청로71번길 5 (기장병원 옆),051)722-1001
13,감만점,부산 남구 홍곡로 3 (감만상가아파트 지하),051)635-8580
14,삼천포점,경남 사천시 새시장길 19 (삼천포종합시장 내),055)835-4115~7
15,화명점,부산 북구 금곡대로 270 (대림아파트상가 지하),051)363-5332
16,삼문점,경남 밀양시 삼문중앙로 13 (삼문동 주민센터 옆),055)353-2220
17,경주동부점,경북 경주시 중앙로 60,054-749-2007
18,다대점,부산 사하구 다대로554번길 7,"051)262-3072,9"
19,마산점,경남 창원시 마산합포구 오동동14길 29 (기산아파트 1층),055)222-9206~7
20,김해점,경남 김해시 가락로 83,055)336-6847
21,양산북부점,경남 양산시 북안북7길 28 (양산중학교 옆),055)384-4991~2
22,언양점,울산 울주군 언양읍 헌양길 117,052)264-0244
23,당리점,부산 사하구 낙동대로 353 (에디스 여성병원 옆),051)291-0035
24,사천점,경남 사천시 정동면 옥산로 38,055)852-5988
25,신다대점,부산 사하구 다송로 58 (롯데캐슬블루 앞),051)266-8255~6
26,양산범어점,경남 양산시 물금읍 황산로 653,055)385-9030
27,해운대점,부산 해운대구 좌동로 38,051)704-9009
28,기장서부점,부산 기장군 기장읍 읍내로 49 (서부주공아파트 앞),051)724-2828
29,진주주약점,경남 진주시 진주대로 784 (촉석골프랜드 옆),055)762-7557
30,삼방점,경남 김해시 활천로255번길 16,055)324-6272
31,반송점,부산 해운대구 윗반송로 8,051)545-3217
32,포항유강점,경북 포항시 남구 연일읍 유강길9번길 35,054)272-8300
33,경주황성점,경북 경주시 용담로104번길 25 (현대1차 후문 앞),054)744-5588
34,울산화봉점,울산 북구 화봉로 79 (화봉파출소 옆),052)288-3877
35,울산남창점,울산 울주군 온양읍 연안2길 7 (상아1차 앞),052)237-6633
36,양산북정점,경남 양산시 삼성5길 11-12,055)363-4477
37,김해삼계점,경남 김해시 삼계중앙로 12 (장신대역 옆),055)333-3553
38,남부민점,부산 서구 충무대로 246,051)244-1221
39,마산호계점,경남 창원시 마산회원구 내서읍 호계안길 97 (동서병원 옆),055)231-0031
40,울산천상점,울산 울주군 범서읍 천상길 34,052)212-9889
41,진해점,경남 창원시 진해구 충장로523번길 7 (동진여중 밑),055)544-2662
42,장승포점,경남 거제시 신부로 42-15,055)682-5485~6
43,포항우현점,경북 포항시 북구 중앙로419번길 29,054)232-5201
44,밀양가곡점,경남 밀양시 가곡7길 24 (밀양한전 옆),055)356-2001
45,김해외동점,경남 김해시 분성로 104 (중앙병원 옆),055)339-5900
46,장림점,부산 사하구 다대로 296 (신장림역 3번출구),051)262-1991
47,영도동삼점,부산 영도구 동삼로 56,051)405-8000
48,구포점,부산 북구 백양대로 1052 (맥도날드 구남점 맞은편),051)331-3000
49,포항죽도점,경북 포항시 북구 죽도로 90,054)281-4800
50,창원반지점,경남 창원시 성산구 창원천로 292 (대동그린코아상가),055)276-8600
51,통영죽림점,경남 통영시 광도면 신죽1길 18 (죽림초 앞),055)643-5112
52,진주호탄점,경남 진주시 동부로 73 (경남정보고 맞은편),055)762-2442
53,창원동읍점,경남 창원시 의창구 동읍 동읍로 1-10,055)255-0707
54,안강점,경북 경주시 안강읍 비화동길 41,054)761-3113
55,현풍점,대구 달성군 현풍읍 현풍로 10길 74,053)617-7557
56,온천점,부산 동래구 아시아드대로 215,051)504-8100
57,창녕점,경남 창녕군 창녕읍 술정동탑길 4,055)533-4664
58,포항문덕점,경북 포항시 남구 오천읍 원동로 33 (원동초 후문 앞),054)291-8899
59,감천점,부산 사하구 감천로 29,051)202-3555
60,청도점,경북 청도군 청도읍 고수동4길 7-11,054)373-8223
61,진주금산점,경남 진주시 금산면 금산순환로 36,055)755-6336
62,영천점,경북 영천시 동부로 64 (참편한요양병원 옆),054)336-6767
63,서대신점,부산 서구 대영로 5 (서대신역 4번출구),051)255-0022
64,울산구영점,울산 울주군 범서읍 점촌5길 6 (울주경찰서 뒤),052)244-6606
65,초량점,"부산 동구 초량로13번길 53 (구, 남선창고)",051)466-2112
66,마산석전점,경남 창원시 마산회원구 양덕옛2길 13 (우성아파트 앞),055)255-3223
67,남산점,부산 금정구 금샘로 456(남산동) (남산성당 옆),051)515-9696
68,뉴창원점,경남 창원시 의창구 사화로17번길 3 (창원역 맞은편),055)299-1991
69,정관점,부산 기장군 정관면 산단1로 133 (삼성자동차서비스 옆),051)727-5766
70,진주충무공점,경남 진주시 에나로 128번길 28 (LH본사 정문사거리 앞),055-742-1260
71,장유관동점,경남 김해시 덕정로 85,055-337-6133
72,서진주점,경남 진주시 새평거로 136 (평거동 921),055)743-6300
73,대구점,대구 중구 중앙대로 66길 20 (효성해링턴 지하),053)251-5000
74,물금역점,"경남 양산시 물금읍 물금중앙길 18 (구, 물금시장)",055-387-3008
75,경주용강점,경북 경주시 산업로 4348 (용강동),054)744-5501~2
76,부곡점,부산 금정구 부곡동 79 (부곡동 333-1),051)583-1501~2
