,store,address,Latitude,Longitude,phone
0,영도봉래점,부산 영도구 태종로 194,35.0942098,129.049444,051)418-2102~3
1,진영점,경남 김해시 진영읍 진영로 221,35.3026702,128.7369281,055)345-0388~9
2,금사점,부산 금정구 공단서로 22 (강산병원 옆),35.2169752,129.1107829,051)527-2222
3,통영점,경남 통영시 미수해안로 164-13 (봉평오거리 옆),34.8321573,128.4139597,055)648-8161~3
4,진주점,경남 진주시 도동로 251,35.192582,128.1212981,055)762-2571~5
5,사직점,부산 동래구 사직북로33번길 34 (국민시장 내),35.198454,129.0589333,051)501-5810
6,신평점,부산 사하구 하신중앙로 210,35.0969785,128.9621297,051)293-8483~4
7,신촌점,경남 밀양시 창밀로 3561,35.5046452,128.7381468,055)356-5535~6
8,구산점,경남 김해시 구산로 50 (구산고 밑),35.248532,128.8741613,055)325-6283~4
9,연제점,부산 연제구 중앙대로 1174 구)피자헛 연산점 자리,35.1925,129.0805556,051)504-9551~2
10,반여점,부산 해운대구 선수촌로 119,35.2040857,129.1198596,051)525-0422
11,고성점,경남 고성군 고성읍 성내로 28,34.9763143,128.312558,055)674-8131~2
12,기장점,부산 기장군 기장읍 대청로71번길 5 (기장병원 옆),35.237127,129.2174446,051)722-1001
13,감만점,부산 남구 홍곡로 3 (감만상가아파트 지하),35.1163155,129.0817636,051)635-8580
14,삼천포점,경남 사천시 새시장길 19 (삼천포종합시장 내),34.9321768,128.079158,055)835-4115~7
15,화명점,부산 북구 금곡대로 270 (대림아파트상가 지하),35.231229,129.0155998,051)363-5332
16,삼문점,경남 밀양시 삼문중앙로 13 (삼문동 주민센터 옆),35.4841191,128.7537941,055)353-2220
17,경주동부점,경북 경주시 중앙로 60,35.8453254,129.2119898,054-749-2007
18,다대점,부산 사하구 다대로554번길 7,35.056924,128.970333,"051)262-3072,9"
19,마산점,경남 창원시 마산합포구 오동동14길 29 (기산아파트 1층),35.2052561,128.5808397,055)222-9206~7
20,김해점,경남 김해시 가락로 83,35.2341686,128.8812075,055)336-6847
21,양산북부점,경남 양산시 북안북7길 28 (양산중학교 옆),35.350134,129.042281,055)384-4991~2
22,언양점,울산 울주군 언양읍 헌양길 117,35.5655308,129.1193619,052)264-0244
23,당리점,부산 사하구 낙동대로 353 (에디스 여성병원 옆),35.1014992,128.9778828,051)291-0035
24,사천점,경남 사천시 정동면 옥산로 38,35.0790548,128.087309,055)852-5988
25,신다대점,부산 사하구 다송로 58 (롯데캐슬블루 앞),35.0649311,128.9808857,051)266-8255~6
26,양산범어점,경남 양산시 물금읍 황산로 653,35.3303494,129.0047106,055)385-9030
27,해운대점,부산 해운대구 좌동로 38,35.1689104,129.1711377,051)704-9009
28,기장서부점,부산 기장군 기장읍 읍내로 49 (서부주공아파트 앞),35.2441605,129.2095439,051)724-2828
29,진주주약점,경남 진주시 진주대로 784 (촉석골프랜드 옆),35.1717662,128.0959941,055)762-7557
30,삼방점,경남 김해시 활천로255번길 16,35.2441413,128.9074768,055)324-6272
31,반송점,부산 해운대구 윗반송로 8,35.2296834,129.1505594,051)545-3217
